,run,rho,number of servers,number of customers,mean waiting time
174,6,0.9,4,700,1.5689906179267779
175,6,0.9,4,800,1.7825910250963537
176,6,0.9,4,900,1.6466227886062046
177,6,0.9,4,1000,1.5135742069118372
178,6,0.9,4,2000,1.350859193660746
179,6,0.9,4,3000,1.403990613870438
180,6,0.9,4,4000,1.3415756527407379
181,6,0.9,4,5000,1.213319098084551
182,6,0.9,4,6000,1.1812079215610432
183,6,0.9,4,7000,1.108478584773418
184,6,0.9,4,8000,1.0997887467969143
185,6,0.9,4,9000,1.0352369188375978
186,6,0.9,4,10000,1.0684219987555448
187,6,0.9,4,20000,1.0610540984924608
188,6,0.9,4,30000,0.9647990499658569
189,6,0.9,4,40000,1.0927688864667535
190,6,0.9,4,50000,1.0501276785831946
191,6,0.9,4,60000,1.044705453354758
192,6,0.9,4,70000,1.0454159338932028
193,6,0.9,4,80000,1.084832330308927
194,6,0.9,4,90000,1.052863752130258
195,6,0.9,4,100000,1.026168037004496
196,7,0.9,4,100,0.19085132432132446
197,7,0.9,4,200,0.21262650742732325
198,7,0.9,4,300,0.23333192558711058
199,7,0.9,4,400,0.47647658358929135
200,7,0.9,4,500,1.0564240527109927
201,7,0.9,4,600,1.9371611443734529
202,7,0.9,4,700,2.973820128439613
203,7,0.9,4,800,3.9180597169397235
204,7,0.9,4,900,4.053143695581822
205,7,0.9,4,1000,3.6905324726439073
206,7,0.9,4,2000,2.3974661280529843
207,7,0.9,4,3000,2.0467704856201685
208,7,0.9,4,4000,1.670280319578183
209,7,0.9,4,5000,1.4772909301502253
210,7,0.9,4,6000,1.3722595911043372
211,7,0.9,4,7000,1.2706759257456068
212,7,0.9,4,8000,1.2057693239536065
213,7,0.9,4,9000,1.1484503533256598
214,7,0.9,4,10000,1.1009343310843287
215,7,0.9,4,20000,1.172487349257511
216,7,0.9,4,30000,1.0971435278570763
217,7,0.9,4,40000,1.079220635759449
218,7,0.9,4,50000,1.0420755600226348
