rho,number of servers,number of customers,mean waiting time
0.7,4,7000,0.3528111011775622
0.7,4,8000,0.35325892520473356
0.7,4,9000,0.3534170264244861
0.7,4,10000,0.35407466331124293
0.7,4,20000,0.35515568367755684
0.7,4,30000,0.3558108291426044
0.7,4,40000,0.3564002930497153
0.7,4,50000,0.35678686133858506
0.7,4,60000,0.356702876957074
0.7,4,70000,0.3563166949266265
0.7,4,80000,0.3564968573136566
0.7,4,90000,0.3568282236097326
0.7,4,100000,0.35709957423803496
0.8,1,100,2.973155095298012
0.8,1,200,3.393578036912955
0.8,1,300,3.6043828438986
0.8,1,400,3.691191672905176
0.8,1,500,3.729842246351847
0.8,1,600,3.7741581247818194
0.8,1,700,3.7882143248448457
0.8,1,800,3.844408785571296
0.8,1,900,3.8552235161890236
0.8,1,1000,3.8576172169297114
0.8,1,2000,3.883564730933794
0.8,1,3000,3.8971611304221194
0.8,1,4000,3.9329624470625686
0.8,1,5000,3.958361652622198
0.8,1,6000,3.9475869906940866
0.8,1,7000,3.962102599699717
0.8,1,8000,3.9914761698347556
0.8,1,9000,3.994684297220435
0.8,1,10000,3.995559321386651
0.8,1,20000,3.992658722746986
0.8,1,30000,4.000142683325945
0.8,1,40000,4.003629616530232
0.8,1,50000,4.003360234818839
0.8,1,60000,4.007785762954078
0.8,1,70000,4.004121146134419
0.8,1,80000,4.003104446018496
0.8,1,90000,4.004432466544141
0.8,1,100000,4.006443013795992
0.8,2,100,1.3523849307188387
0.8,2,200,1.5948788162420784
0.8,2,300,1.64602743886331
0.8,2,400,1.6696451169216024
0.8,2,500,1.6852066506352832
0.8,2,600,1.7144453699905313
0.8,2,700,1.706956572605056
0.8,2,800,1.7171333844081265
0.8,2,900,1.7339931118623277
0.8,2,1000,1.7470374352906899
0.8,2,2000,1.7694448550444988
0.8,2,3000,1.787259065678029
0.8,2,4000,1.7861072496456416
0.8,2,5000,1.7895609096959915
0.8,2,6000,1.7909036243003373
0.8,2,7000,1.7839407285613025
0.8,2,8000,1.7824233322892817
0.8,2,9000,1.7818501028888367
0.8,2,10000,1.7782825158804616
0.8,2,20000,1.770481089273575
0.8,2,30000,1.7719498214986082
0.8,2,40000,1.7752340960549742
0.8,2,50000,1.7747117623859756
0.8,2,60000,1.7769306717994966
0.8,2,70000,1.7786786342861296
0.8,2,80000,1.7798269342193453
0.8,2,90000,1.7796180529902923
0.8,2,100000,1.7802583701406545
0.8,4,100,0.5093772363336053
0.8,4,200,0.6307174954574308
0.8,4,300,0.6685450078213355
0.8,4,400,0.7017490070133968
0.8,4,500,0.7155895706498254
0.8,4,600,0.7212094926054865
0.8,4,700,0.7191975129673498
0.8,4,800,0.7255438930935855
0.8,4,900,0.7328537842975993
0.8,4,1000,0.7292716778648247
0.8,4,2000,0.7476361768714268
0.8,4,3000,0.7517032174079135
0.8,4,4000,0.7523565187936301
0.8,4,5000,0.7495298797478985
0.8,4,6000,0.7492258796000246
0.8,4,7000,0.7501766855915706
0.8,4,8000,0.7473859631540244
0.8,4,9000,0.7475621384889645
0.8,4,10000,0.749928518938756
0.8,4,20000,0.750061899107759
0.8,4,30000,0.7497463635721194
0.8,4,40000,0.7488321462172716
0.8,4,50000,0.7489301772102137
0.8,4,60000,0.7496218481576341
0.8,4,70000,0.7499518254389855
0.8,4,80000,0.7499250886341875
0.8,4,90000,0.7486181214701334
0.8,4,100000,0.7484125072089051
0.9,1,100,4.576257929297903
0.9,1,200,5.648110386603186
0.9,1,300,6.187774876692139
0.9,1,400,6.643301941188729
0.9,1,500,7.051620718186368
0.9,1,600,7.343512340429785
0.9,1,700,7.528732924267635
0.9,1,800,7.64156989241697
0.9,1,900,7.780360592206177
0.9,1,1000,7.894477245342455
0.9,1,2000,8.489096986170622
0.9,1,3000,8.618462426395
0.9,1,4000,8.624227893862404
0.9,1,5000,8.618841054339473
0.9,1,6000,8.631594933153032
0.9,1,7000,8.693058583865904
0.9,1,8000,8.736542640769361
0.9,1,9000,8.787292520877058
0.9,1,10000,8.8313553140688
0.9,1,20000,8.909016157796193
0.9,1,30000,8.934021781447424
0.9,1,40000,8.981683178624346
0.9,1,50000,8.982761667271804
0.9,1,60000,8.993654493496287
0.9,1,70000,9.013542006004677
0.9,1,80000,9.023216813015516
0.9,1,90000,9.025799605490166
0.9,1,100000,9.033139257449381
0.9,2,100,2.1105302249253737
0.9,2,200,2.7075381791011033
0.9,2,300,3.079769415973096
0.9,2,400,3.3076270626173088
0.9,2,500,3.475755174703068
0.9,2,600,3.659582985209911
0.9,2,700,3.7549874129304746
0.9,2,800,3.8267598654621113
0.9,2,900,3.917425350308949
0.9,2,1000,4.013253252016391
0.9,2,2000,4.186351866673126
0.9,2,3000,4.159769518526159
0.9,2,4000,4.130813661048926
0.9,2,5000,4.1560770541889465
0.9,2,6000,4.18096550785786
0.9,2,7000,4.181253121627437
0.9,2,8000,4.198879887073574
0.9,2,9000,4.207183004938116
0.9,2,10000,4.222958465650292
0.9,2,20000,4.2841250590469855
0.9,2,30000,4.298945312657988
0.9,2,40000,4.293647912571918
0.9,2,50000,4.286172305983583
0.9,2,60000,4.271534047603203
0.9,2,70000,4.265034144805969
0.9,2,80000,4.264886046646874
0.9,2,90000,4.259244217766977
0.9,2,100000,4.257193883894286
0.9,4,100,0.8693651726395422
0.9,4,200,1.1937419863890992
0.9,4,300,1.4040482545166186
0.9,4,400,1.5293640372482813
0.9,4,500,1.6214614193212529
0.9,4,600,1.6632747875596219
