,run,rho,number of servers,number of customers,mean waiting time
127,4,0.9,1,7000,3.168196541020077
128,4,0.9,1,8000,3.0138669476335185
129,4,0.9,1,9000,3.0244169152657925
130,4,0.9,1,10000,3.1141530034532523
131,4,0.9,1,20000,3.2488058918535607
132,4,0.9,1,30000,3.115778176009703
133,4,0.9,1,40000,3.238161297292402
134,4,0.9,1,50000,3.2681591756162076
135,4,0.9,1,60000,3.209727581864183
136,4,0.9,1,70000,3.161528602135306
137,4,0.9,1,80000,3.130207814551303
138,4,0.9,1,90000,3.231094673270408
139,4,0.9,1,100000,3.3302331226115434
140,5,0.9,1,100,1.1007180272593127
141,5,0.9,1,200,2.042332897841808
142,5,0.9,1,300,3.497039893191557
143,5,0.9,1,400,3.5316794514775562
144,5,0.9,1,500,3.5400347081465844
145,5,0.9,1,600,3.471208148237607
146,5,0.9,1,700,3.424010956965011
147,5,0.9,1,800,4.0106476783364435
148,5,0.9,1,900,3.8943660684603514
149,5,0.9,1,1000,3.7207505142994908
150,5,0.9,1,2000,3.2281285474068953
151,5,0.9,1,3000,3.6960005013281796
152,5,0.9,1,4000,3.3024763223003974
153,5,0.9,1,5000,3.3143800080429546
154,5,0.9,1,6000,3.234955324267848
155,5,0.9,1,7000,3.2341634065860174
156,5,0.9,1,8000,3.0968397277342614
157,5,0.9,1,9000,2.981592042200614
158,5,0.9,1,10000,3.0078346521244597
159,5,0.9,1,20000,3.5724494082201965
160,5,0.9,1,30000,3.3165073765160114
161,5,0.9,1,40000,3.2286821911584536
162,5,0.9,1,50000,3.0947602933540956
163,5,0.9,1,60000,3.1896586632274357
164,5,0.9,1,70000,3.234191023588038
165,5,0.9,1,80000,3.2390947301990054
166,5,0.9,1,90000,3.190937785001617
167,5,0.9,1,100000,3.244514009079261
168,6,0.9,1,100,2.0253956328829013
169,6,0.9,1,200,2.123541943390871
170,6,0.9,1,300,1.8484388978276278
171,6,0.9,1,400,1.7243384129512476
172,6,0.9,1,500,1.8636374623938072
173,6,0.9,1,600,2.0792792488161544
174,6,0.9,1,700,2.4547393468036893
175,6,0.9,1,800,3.5718923041969424
176,6,0.9,1,900,3.677778423634256
177,6,0.9,1,1000,3.7086188034455287
178,6,0.9,1,2000,3.6650382203244734
179,6,0.9,1,3000,3.349502934286108
180,6,0.9,1,4000,3.4467306697666196
181,6,0.9,1,5000,3.5495419020194747
182,6,0.9,1,6000,3.433222518761737
183,6,0.9,1,7000,3.3279623328091423
184,6,0.9,1,8000,3.2418541887796044
185,6,0.9,1,9000,3.1488848532408378
186,6,0.9,1,10000,3.158923488884307
187,6,0.9,1,20000,3.0817907372881552
188,6,0.9,1,30000,3.2816917502816723
189,6,0.9,1,40000,3.2984911132891486
190,6,0.9,1,50000,3.6534261202009635
191,6,0.9,1,60000,3.686518176247504
192,6,0.9,1,70000,3.6536164419289876
193,6,0.9,1,80000,3.5674872037744514
194,6,0.9,1,90000,3.5216528349289193
195,6,0.9,1,100000,3.5161396202046094
196,7,0.9,1,100,2.0231352117365895
197,7,0.9,1,200,2.855983644582324
198,7,0.9,1,300,2.543106594863115
199,7,0.9,1,400,2.5315253245048934
200,7,0.9,1,500,2.4630171960530216
201,7,0.9,1,600,2.7179516843640785
202,7,0.9,1,700,2.7286655057496567
203,7,0.9,1,800,2.756271074017468
204,7,0.9,1,900,2.881428492202927
205,7,0.9,1,1000,2.933983253143714
206,7,0.9,1,2000,3.4801739081606176
207,7,0.9,1,3000,3.2447913195074083
208,7,0.9,1,4000,2.968018550791023
209,7,0.9,1,5000,2.6835767272101605
210,7,0.9,1,6000,2.5157170718790836
211,7,0.9,1,7000,2.6875265807575253
212,7,0.9,1,8000,2.6485742995401114
213,7,0.9,1,9000,2.5956727694553923
214,7,0.9,1,10000,2.5783641916987436
215,7,0.9,1,20000,2.921954764270509
216,7,0.9,1,30000,2.97859909725627
217,7,0.9,1,40000,3.072207107455761
218,7,0.9,1,50000,2.981968726610998
219,7,0.9,1,60000,3.0825794107557942
220,7,0.9,1,70000,3.2491258735496658
221,7,0.9,1,80000,3.1740003919993764
222,7,0.9,1,90000,3.1697393340822386
223,7,0.9,1,100000,3.1664776569929556
224,8,0.9,1,100,1.0427931779936315
225,8,0.9,1,200,1.9865809655766045
226,8,0.9,1,300,1.6485691314968471
227,8,0.9,1,400,2.5071555900875713
228,8,0.9,1,500,2.543434872252526
229,8,0.9,1,600,2.8567569852381123
230,8,0.9,1,700,3.021164786878406
231,8,0.9,1,800,3.1322312204835145
232,8,0.9,1,900,3.81894655969597
233,8,0.9,1,1000,3.923093974720297
234,8,0.9,1,2000,3.160861559719186
235,8,0.9,1,3000,2.867402336361538
236,8,0.9,1,4000,2.8308273631753864
237,8,0.9,1,5000,3.1259131809440786
238,8,0.9,1,6000,3.3675192243933587
239,8,0.9,1,7000,3.3629644412950728
240,8,0.9,1,8000,3.32308364854517
241,8,0.9,1,9000,3.19119819524559
242,8,0.9,1,10000,3.169284061235196
243,8,0.9,1,20000,3.018920818813902
244,8,0.9,1,30000,2.975844986662721
245,8,0.9,1,40000,3.0778546982446366
246,8,0.9,1,50000,3.176315027886208
247,8,0.9,1,60000,3.1791789747649366
248,8,0.9,1,70000,3.1435720347367093
249,8,0.9,1,80000,3.117534469020675
250,8,0.9,1,90000,3.1171332407622145
251,8,0.9,1,100000,3.07729354830002
252,9,0.9,1,100,1.1982132159238712
253,9,0.9,1,200,1.4590524111381038
254,9,0.9,1,300,1.9674565122543588
255,9,0.9,1,400,2.0624080893355905
256,9,0.9,1,500,2.2746834053232963
257,9,0.9,1,600,2.2749971805300984
258,9,0.9,1,700,2.864609530881229
259,9,0.9,1,800,3.3341466270377174
260,9,0.9,1,900,3.436247435232688
261,9,0.9,1,1000,3.4842096880376854
262,9,0.9,1,2000,4.276465753756635
263,9,0.9,1,3000,4.092111441787311
264,9,0.9,1,4000,4.174489118371977
265,9,0.9,1,5000,3.8943733365312414
266,9,0.9,1,6000,3.7168754837052305
267,9,0.9,1,7000,3.657481200389318
268,9,0.9,1,8000,3.511592366607071
269,9,0.9,1,9000,3.3874327523276926
270,9,0.9,1,10000,3.39053913136727
271,9,0.9,1,20000,3.5034460534824086
272,9,0.9,1,30000,3.4393726263338715
273,9,0.9,1,40000,3.285381853079382
274,9,0.9,1,50000,3.236943873501595
275,9,0.9,1,60000,3.1915615610762287
276,9,0.9,1,70000,3.1602523242426557
277,9,0.9,1,80000,3.1982851466340465
278,9,0.9,1,90000,3.221535063622187
279,9,0.9,1,100000,3.234097870842817
280,10,0.9,1,100,1.4443856002983557
281,10,0.9,1,200,1.3151897390946845
282,10,0.9,1,300,2.2984333201998575
283,10,0.9,1,400,2.6742182376167887
284,10,0.9,1,500,3.247515066183029
285,10,0.9,1,600,3.4750549754053903
286,10,0.9,1,700,3.4996536750252063
287,10,0.9,1,800,4.449069271743686
288,10,0.9,1,900,4.344313084786533
289,10,0.9,1,1000,4.1947976619072564
290,10,0.9,1,2000,3.4959808291825802
291,10,0.9,1,3000,3.9043961400993146
292,10,0.9,1,4000,3.404255949231277
293,10,0.9,1,5000,3.1690842915540363
294,10,0.9,1,6000,2.94458217453946
295,10,0.9,1,7000,2.965425426263734
296,10,0.9,1,8000,2.8387549314272893
297,10,0.9,1,9000,2.9103504286816597
298,10,0.9,1,10000,2.9145990159349995
299,10,0.9,1,20000,2.9900509731775693
300,10,0.9,1,30000,3.0662827436948366
301,10,0.9,1,40000,3.359514042323165
302,10,0.9,1,50000,3.3957099257971533
303,10,0.9,1,60000,3.372890334542579
304,10,0.9,1,70000,3.290366123697973
305,10,0.9,1,80000,3.250949027687899
306,10,0.9,1,90000,3.2294731275327693
307,10,0.9,1,100000,3.316353527723967
308,11,0.9,1,100,2.86645224786252
309,11,0.9,1,200,2.9775760790348214
310,11,0.9,1,300,2.3795327673610944
311,11,0.9,1,400,2.860220442477356
312,11,0.9,1,500,2.808061960262729
313,11,0.9,1,600,2.894770812118161
314,11,0.9,1,700,2.959393447193861
315,11,0.9,1,800,2.944524891452869
316,11,0.9,1,900,2.764373450014051
317,11,0.9,1,1000,2.752686361588354
318,11,0.9,1,2000,3.9673456360664394
319,11,0.9,1,3000,3.9717623950138488
320,11,0.9,1,4000,3.699212026035835
321,11,0.9,1,5000,3.367525793923816
322,11,0.9,1,6000,3.290586370627345
323,11,0.9,1,7000,3.1382387867574684
324,11,0.9,1,8000,3.1812254589029574
325,11,0.9,1,9000,3.319096656097136
326,11,0.9,1,10000,3.287754843845903
327,11,0.9,1,20000,3.0166384237873505
328,11,0.9,1,30000,3.094656913254882
329,11,0.9,1,40000,3.0141577116948466
330,11,0.9,1,50000,2.994110932930972
331,11,0.9,1,60000,3.0287845278178542
332,11,0.9,1,70000,3.059585287527029
333,11,0.9,1,80000,3.041820223347651
334,11,0.9,1,90000,2.994941378976467
335,11,0.9,1,100000,3.0169762469149606
336,12,0.9,1,100,2.2837870098458217
337,12,0.9,1,200,2.171623300859061
338,12,0.9,1,300,2.143046561055505
339,12,0.9,1,400,2.3949064780115425
340,12,0.9,1,500,2.104934555670069
341,12,0.9,1,600,1.9500751653650097
342,12,0.9,1,700,2.227656750885044
343,12,0.9,1,800,2.33909902348377
344,12,0.9,1,900,2.2523314156788468
345,12,0.9,1,1000,2.324357398517544
346,12,0.9,1,2000,2.539979125556609
347,12,0.9,1,3000,2.797493880143333
348,12,0.9,1,4000,2.9321157288808384
349,12,0.9,1,5000,3.1955258516350553
350,12,0.9,1,6000,3.6206521042694604
351,12,0.9,1,7000,3.888017774594115
352,12,0.9,1,8000,3.7413050904356058
353,12,0.9,1,9000,3.7985038302287877
354,12,0.9,1,10000,3.7117010028606696
355,12,0.9,1,20000,3.2287627303549336
356,12,0.9,1,30000,3.1152710385621685
357,12,0.9,1,40000,3.0378282872655697
358,12,0.9,1,50000,3.0255137730447297
359,12,0.9,1,60000,3.0875228788131617
360,12,0.9,1,70000,3.084692048816401
361,12,0.9,1,80000,3.109995670599965
362,12,0.9,1,90000,3.1580893116402105
363,12,0.9,1,100000,3.1830434949976776
364,13,0.9,1,100,3.3395397186054807
365,13,0.9,1,200,3.0341989355161796
366,13,0.9,1,300,4.1458593442279685
367,13,0.9,1,400,4.048741897189303
368,13,0.9,1,500,4.4517294643605805
369,13,0.9,1,600,5.048833074087074
370,13,0.9,1,700,4.737920261502155
371,13,0.9,1,800,4.415089229155519
372,13,0.9,1,900,4.19559490012772
373,13,0.9,1,1000,3.8920545614390596
374,13,0.9,1,2000,3.6438418814764133
375,13,0.9,1,3000,3.652221185082634
376,13,0.9,1,4000,3.81684738189748
377,13,0.9,1,5000,4.276210587002965
378,13,0.9,1,6000,4.30626449461536
379,13,0.9,1,7000,4.185420804860038
380,13,0.9,1,8000,4.015209812242382
381,13,0.9,1,9000,3.860606664249197
382,13,0.9,1,10000,3.7952194322387847
383,13,0.9,1,20000,3.4797206374764325
384,13,0.9,1,30000,3.387364182447994
385,13,0.9,1,40000,3.3120276909287
386,13,0.9,1,50000,3.205689033004107
387,13,0.9,1,60000,3.174281085499182
388,13,0.9,1,70000,3.093306970347968
389,13,0.9,1,80000,3.19465271629384
390,13,0.9,1,90000,3.179432473266174
391,13,0.9,1,100000,3.161282474186678
392,14,0.9,1,100,2.2341708353222534
393,14,0.9,1,200,2.3411852255294257
394,14,0.9,1,300,3.3777195417145336
