,run,rho,number of servers,number of customers,mean waiting time
90,3,0.7,1,700,4.38090011067044
91,3,0.7,1,800,4.466159116546612
92,3,0.7,1,900,5.194044048865702
93,3,0.7,1,1000,4.943863056073325
94,3,0.7,1,2000,3.2591593548727347
95,3,0.7,1,3000,3.1118825932323224
96,3,0.7,1,4000,2.926153717853289
97,3,0.7,1,5000,2.8720130420032794
98,3,0.7,1,6000,2.7872689497857457
99,3,0.7,1,7000,2.6416402130732135
100,3,0.7,1,8000,2.651291407175236
101,3,0.7,1,9000,2.5400757181379507
102,3,0.7,1,10000,2.513388863485647
103,3,0.7,1,20000,2.5482279931358027
104,3,0.7,1,30000,2.5159597200948753
105,3,0.7,1,40000,2.5118767695366535
106,3,0.7,1,50000,2.503746512870685
107,3,0.7,1,60000,2.4628160114479987
108,3,0.7,1,70000,2.4506099741517073
109,3,0.7,1,80000,2.44449835261951
110,3,0.7,1,90000,2.4319792158917832
111,3,0.7,1,100000,2.424186868208696
112,4,0.7,1,100,5.472672363152453
113,4,0.7,1,200,3.86443431811852
114,4,0.7,1,300,3.018518487703277
115,4,0.7,1,400,2.824752356209977
116,4,0.7,1,500,2.761976884173117
117,4,0.7,1,600,2.703858136468074
118,4,0.7,1,700,2.564131219769246
119,4,0.7,1,800,2.7339294438966486
120,4,0.7,1,900,2.823058238880089
121,4,0.7,1,1000,2.65487598961116
122,4,0.7,1,2000,2.6510576846712133
123,4,0.7,1,3000,2.6773366892212693
124,4,0.7,1,4000,2.5212999977141517
125,4,0.7,1,5000,2.3464959375252343
126,4,0.7,1,6000,2.2880904235948516
127,4,0.7,1,7000,2.2814348581342205
128,4,0.7,1,8000,2.274668385076514
129,4,0.7,1,9000,2.282943316392274
130,4,0.7,1,10000,2.2372100869016256
131,4,0.7,1,20000,2.358083058356757
132,4,0.7,1,30000,2.3012770713134416
133,4,0.7,1,40000,2.3261078769331207
134,4,0.7,1,50000,2.3907226274823152
135,4,0.7,1,60000,2.4211540120342803
136,4,0.7,1,70000,2.418883111102296
137,4,0.7,1,80000,2.4124165309156997
138,4,0.7,1,90000,2.434606072277015
139,4,0.7,1,100000,2.4146018936073537
140,5,0.7,1,100,2.374385067621446
141,5,0.7,1,200,2.072763320962994
142,5,0.7,1,300,1.714145435304415
143,5,0.7,1,400,1.9085757631775535
144,5,0.7,1,500,1.864245080213047
145,5,0.7,1,600,1.7707870515847832
146,5,0.7,1,700,1.7975566837616517
147,5,0.7,1,800,2.1479861599181036
148,5,0.7,1,900,2.4463223022522294
149,5,0.7,1,1000,2.4023459219808143
150,5,0.7,1,2000,2.2623647429612967
151,5,0.7,1,3000,2.3250923501863925
152,5,0.7,1,4000,2.124616905924317
153,5,0.7,1,5000,2.084978610690032
154,5,0.7,1,6000,2.314786652014013
155,5,0.7,1,7000,2.4186905096687124
156,5,0.7,1,8000,2.424751582927255
157,5,0.7,1,9000,2.5048995238867566
158,5,0.7,1,10000,2.447206921670548
159,5,0.7,1,20000,2.613562722129787
160,5,0.7,1,30000,2.5025659853394253
161,5,0.7,1,40000,2.4641844415263616
162,5,0.7,1,50000,2.474328620179398
163,5,0.7,1,60000,2.4312037486815603
164,5,0.7,1,70000,2.4387645457016873
165,5,0.7,1,80000,2.445099602344622
166,5,0.7,1,90000,2.4187435308745107
167,5,0.7,1,100000,2.3971050523575586
168,6,0.7,1,100,2.3223314723778854
169,6,0.7,1,200,1.6306987711045067
170,6,0.7,1,300,1.3203259750301284
171,6,0.7,1,400,1.5411533492650213
172,6,0.7,1,500,1.881799388372761
173,6,0.7,1,600,1.6566507371415844
174,6,0.7,1,700,1.6453706495183023
175,6,0.7,1,800,2.0255776529146483
176,6,0.7,1,900,2.090968799709562
177,6,0.7,1,1000,2.035874266150312
178,6,0.7,1,2000,2.620869540697923
179,6,0.7,1,3000,2.4306243246083197
180,6,0.7,1,4000,2.2704384785208642
181,6,0.7,1,5000,2.1347269203361665
