rho,number of servers,number of customers,mean waiting time
0.7,4,30000,0.024429770995065034
0.7,4,40000,0.022038725209077174
0.7,4,50000,0.019293902952563294
0.7,4,60000,0.017219069261489514
0.7,4,70000,0.015744548243331012
0.7,4,80000,0.014861456893693678
0.7,4,90000,0.014074105867705885
0.7,4,100000,0.013624448757135777
0.8,1,100,2.120705621785746
0.8,1,200,1.9482172907207378
0.8,1,300,1.8218742269908414
0.8,1,400,1.6605712830257724
0.8,1,500,1.543350794121081
0.8,1,600,1.4305430856579033
0.8,1,700,1.353603733484727
0.8,1,800,1.3147816787590552
0.8,1,900,1.2649881082840633
0.8,1,1000,1.2046287421741368
0.8,1,2000,0.8689460735323361
0.8,1,3000,0.7054975798370133
0.8,1,4000,0.6329055233360407
0.8,1,5000,0.5757547455470737
0.8,1,6000,0.5144477211230402
0.8,1,7000,0.4817097466938979
0.8,1,8000,0.4662418429798551
0.8,1,9000,0.44418313481990523
0.8,1,10000,0.4203089141096526
0.8,1,20000,0.3074034497692189
0.8,1,30000,0.25054565397341944
0.8,1,40000,0.21326662211101077
0.8,1,50000,0.19245695584792052
0.8,1,60000,0.1772733763979962
0.8,1,70000,0.16777140881275782
0.8,1,80000,0.1551593654844844
0.8,1,90000,0.15008644648092373
0.8,1,100000,0.13854049725781942
0.8,2,100,1.0216390582232668
0.8,2,200,1.0835149055241964
0.8,2,300,1.0129013407006375
0.8,2,400,0.9777707180742714
0.8,2,500,0.9276212788115706
0.8,2,600,0.8422831997256673
0.8,2,700,0.7750834728077375
0.8,2,800,0.7316199387478121
0.8,2,900,0.6772807950162552
0.8,2,1000,0.6385509726020638
0.8,2,2000,0.4865987163830363
0.8,2,3000,0.4054018599157359
0.8,2,4000,0.3375508015704428
0.8,2,5000,0.3036927764723941
0.8,2,6000,0.27359125460412975
0.8,2,7000,0.24849388744769976
0.8,2,8000,0.23165947762611444
0.8,2,9000,0.22520962486241913
0.8,2,10000,0.21304545557976504
0.8,2,20000,0.14701464227228936
0.8,2,30000,0.12843807090852258
0.8,2,40000,0.11269566750563664
0.8,2,50000,0.10051195014213182
0.8,2,60000,0.08999489635881432
0.8,2,70000,0.07975135434655453
0.8,2,80000,0.07285403647219899
0.8,2,90000,0.06814662504537175
0.8,2,100000,0.06593922023654489
0.8,4,100,0.5396985740535152
0.8,4,200,0.4992772136176073
0.8,4,300,0.4444937602308977
0.8,4,400,0.4404575345815762
0.8,4,500,0.4096004100633823
0.8,4,600,0.37735114306704287
0.8,4,700,0.3430964433792585
0.8,4,800,0.33748865627111463
0.8,4,900,0.32404170899232865
0.8,4,1000,0.305595189851153
0.8,4,2000,0.23626438790892174
0.8,4,3000,0.20006255948961305
0.8,4,4000,0.17303054844822593
0.8,4,5000,0.15555766512305497
0.8,4,6000,0.14004796225126415
0.8,4,7000,0.12924213138534116
0.8,4,8000,0.12185841102484125
0.8,4,9000,0.11306337257231232
0.8,4,10000,0.10794839622926518
0.8,4,20000,0.07503286588466662
0.8,4,30000,0.058966805188660515
0.8,4,40000,0.051782873117937916
0.8,4,50000,0.04536815316409818
0.8,4,60000,0.0414580723682931
0.8,4,70000,0.03793357204211719
0.8,4,80000,0.035239964419185685
0.8,4,90000,0.03327320436739104
0.8,4,100000,0.031329075145121586
0.9,1,100,3.255200965848038
0.9,1,200,3.6353671078378094
0.9,1,300,3.775435178171849
0.9,1,400,4.054368031490183
0.9,1,500,4.433665124220597
0.9,1,600,4.508110096654437
0.9,1,700,4.499376743204167
0.9,1,800,4.443833249361856
0.9,1,900,4.411593129154204
0.9,1,1000,4.365585836918118
0.9,1,2000,3.8085596201794027
0.9,1,3000,3.0928408501019553
0.9,1,4000,2.624149290391017
0.9,1,5000,2.2531169654230783
0.9,1,6000,2.0977744739668984
0.9,1,7000,1.9830510047871939
0.9,1,8000,1.9057918631082118
0.9,1,9000,1.927235303589897
0.9,1,10000,1.8808048800415118
0.9,1,20000,1.3832546942164523
0.9,1,30000,1.0945970597624162
